now,event,power,voltage,current,resistance,temperature,stage,raw-voltage,raw-current,steady-state-count,filtered-delta,sample-count,transition-count
0.000,preprocess,5.423,2.719,1.995,1.36315,26.0,,2.72,2.00,0,0.000000,0,0
0.000,timerEvent,88.865,11.082,8.019,1.38193,29.6,bangBang,11.12,8.02,0,0.000000,0,0
1.353,timerEvent,91.140,11.351,8.029,1.41376,35.7,bangBang,11.39,8.03,0,0.000000,0,0
2.709,timerEvent,92.306,11.511,8.019,1.43545,39.8,bangBang,11.55,8.02,0,0.000000,0,0
4.066,timerEvent,93.303,11.621,8.029,1.44732,42.1,bangBang,11.66,8.03,0,0.000000,0,0
6.002,timerEvent,94.227,11.750,8.019,1.46531,45.5,bangBang,11.79,8.02,0,0.000000,0,0
8.001,timerEvent,95.467,11.890,8.029,1.48088,48.5,bangBang,11.93,8.03,0,0.000000,0,0
10.002,timerEvent,96.427,12.010,8.029,1.49578,51.3,bangBang,12.05,8.03,0,0.000000,0,0
12.001,timerEvent,97.423,12.149,8.019,1.51502,55.0,bangBang,12.19,8.02,0,0.000000,0,0
14.002,timerEvent,98.301,12.258,8.019,1.52867,57.6,bangBang,12.30,8.02,0,0.000000,0,0
16.002,timerEvent,99.463,12.388,8.029,1.54287,60.3,bangBang,12.43,8.03,0,0.000000,0,0
18.000,timerEvent,100.342,12.497,8.029,1.55650,62.9,bangBang,12.54,8.03,0,0.000000,0,0
20.001,timerEvent,101.141,12.597,8.029,1.56889,65.3,bangBang,12.64,8.03,0,0.000000,0,0
22.002,timerEvent,102.179,12.726,8.029,1.58500,68.4,bangBang,12.77,8.03,0,0.000000,0,0
24.000,timerEvent,102.978,12.826,8.029,1.59740,70.8,bangBang,12.87,8.03,0,0.000000,0,0
26.000,timerEvent,103.887,12.955,8.019,1.61553,74.2,bangBang,13.00,8.02,0,0.000000,0,0
28.001,timerEvent,104.761,13.064,8.019,1.62912,76.8,bangBang,13.11,8.02,0,0.000000,0,0
30.001,timerEvent,2.544,2.014,1.263,1.59450,70.2,bangBang,2.01,1.27,0,0.000000,0,1
32.001,timerEvent,104.363,13.014,8.019,1.62294,75.6,bangBang,13.06,8.02,0,0.000000,0,2
34.002,timerEvent,2.524,2.014,1.253,1.60727,72.6,bangBang,2.01,1.26,0,0.000000,0,3
36.001,timerEvent,105.238,13.123,8.019,1.63654,78.2,bangBang,13.17,8.02,0,0.000000,0,4
38.001,timerEvent,2.503,2.014,1.243,1.62024,75.1,bangBang,2.01,1.25,0,0.000000,0,5
40.001,timerEvent,2.511,2.004,1.253,1.59934,71.1,bangBang,2.00,1.26,0,0.000000,0,5
42.001,timerEvent,105.317,13.133,8.019,1.63777,78.5,bangBang,13.18,8.02,0,0.000000,0,6
44.000,timerEvent,2.503,2.014,1.243,1.62024,75.1,bangBang,2.01,1.25,0,0.000000,0,7
46.001,timerEvent,2.503,2.014,1.243,1.62024,75.1,bangBang,2.01,1.25,0,0.000000,0,7
48.001,timerEvent,2.524,2.014,1.253,1.60727,72.6,bangBang,2.01,1.26,0,0.000000,0,7
50.002,timerEvent,105.714,13.183,8.019,1.64395,79.7,bangBang,13.23,8.02,0,0.000000,0,8
52.001,timerEvent,2.483,2.014,1.233,1.63342,77.6,bangBang,2.01,1.24,0,0.000000,0,9
54.001,timerEvent,2.503,2.014,1.243,1.62024,75.1,bangBang,2.01,1.25,0,0.000000,0,9
56.002,timerEvent,2.491,2.004,1.243,1.61225,73.6,bangBang,2.00,1.25,0,0.000000,0,9
58.001,timerEvent,106.217,13.262,8.009,1.65591,81.9,bangBang,13.31,8.01,0,0.000000,0,10
60.002,timerEvent,2.483,2.014,1.233,1.63342,77.6,bangBang,2.01,1.24,0,0.000000,0,11
62.001,timerEvent,2.483,2.014,1.233,1.63342,77.6,bangBang,2.01,1.24,0,0.000000,0,11
64.001,timerEvent,2.491,2.004,1.243,1.61225,73.6,bangBang,2.00,1.25,0,0.000000,0,11
66.001,timerEvent,106.271,13.252,8.019,1.65260,81.3,bangBang,13.30,8.02,0,0.000000,0,12
68.002,timerEvent,2.463,2.014,1.223,1.64681,80.2,bangBang,2.01,1.23,0,0.000000,0,13
70.002,timerEvent,2.483,2.014,1.233,1.63342,77.6,bangBang,2.01,1.24,0,0.000000,0,13
72.001,timerEvent,2.483,2.014,1.233,1.63342,77.6,bangBang,2.01,1.24,0,0.000000,0,13
74.002,timerEvent,2.471,2.004,1.233,1.62536,76.1,bangBang,2.00,1.24,0,0.000000,0,13
76.002,timerEvent,2.483,2.014,1.233,1.63342,77.6,bangBang,2.01,1.24,0,0.000000,0,13
78.001,timerEvent,2.503,2.014,1.243,1.62024,75.1,bangBang,2.01,1.25,0,0.000000,0,13
80.001,timerEvent,2.491,2.004,1.243,1.61225,73.6,bangBang,2.00,1.25,0,0.000000,0,13
82.002,timerEvent,105.684,13.262,7.969,1.66427,83.5,bangBang,13.31,7.97,0,0.000000,0,14
84.001,timerEvent,2.387,1.984,1.203,1.64951,80.7,bangBang,1.98,1.21,0,0.000000,0,15
86.001,timerEvent,2.483,2.014,1.233,1.63342,77.6,bangBang,2.01,1.24,0,0.000000,0,15
88.002,timerEvent,2.483,2.014,1.233,1.63342,77.6,bangBang,2.01,1.24,0,0.000000,0,15
90.002,timerEvent,2.483,2.014,1.233,1.63342,77.6,bangBang,2.01,1.24,0,0.000000,0,15
92.001,timerEvent,2.483,2.014,1.233,1.63342,77.6,bangBang,2.01,1.24,0,0.000000,0,15
94.002,timerEvent,2.471,2.004,1.233,1.62536,76.1,bangBang,2.00,1.24,0,0.000000,0,15
96.001,timerEvent,2.471,2.004,1.233,1.62536,76.1,bangBang,2.00,1.24,0,0.000000,0,15
98.001,timerEvent,2.471,2.004,1.233,1.62536,76.1,bangBang,2.00,1.24,0,0.000000,0,15
100.001,timerEvent,2.503,2.014,1.243,1.62024,75.1,bangBang,2.01,1.25,0,0.000000,0,15
102.002,timerEvent,2.491,2.004,1.243,1.61225,73.6,bangBang,2.00,1.25,0,0.000000,0,15
104.001,timerEvent,105.605,13.252,7.969,1.66302,83.3,bangBang,13.30,7.97,0,0.000000,1,16
106.002,timerEvent,2.387,1.984,1.203,1.64951,80.7,bangBang,1.98,1.21,0,0.000000,2,17
108.002,timerEvent,2.495,2.024,1.233,1.64147,79.2,bangBang,2.02,1.24,0,0.000000,3,17
110.002,timerEvent,2.483,2.014,1.233,1.63342,77.6,bangBang,2.01,1.24,0,0.000000,4,17
112.001,timerEvent,2.471,2.004,1.233,1.62536,76.1,bangBang,2.00,1.24,0,0.000000,5,17
114.002,timerEvent,2.471,2.004,1.233,1.62536,76.1,bangBang,2.00,1.24,0,0.000000,6,17
116.002,timerEvent,2.471,2.004,1.233,1.62536,76.1,bangBang,2.00,1.24,0,0.000000,7,17
118.002,timerEvent,2.471,2.004,1.233,1.62536,76.1,bangBang,2.00,1.24,0,0.000000,8,17
