timestamp,voltage,current,power,temperature,resistance
2024-01-01 10:00:00,12.5,2.1,26.25,85.2,5.95
2024-01-01 10:01:00,13.0,2.3,29.9,87.1,5.65
2024-01-01 10:02:00,12.8,2.2,28.16,86.5,5.82
2024-01-01 10:03:00,13.2,2.4,31.68,88.3,5.50
2024-01-01 10:04:00,12.9,2.1,27.09,86.8,6.14
2024-01-01 10:05:00,13.1,2.3,30.13,87.9,5.70
2024-01-01 10:06:00,12.7,2.0,25.4,85.5,6.35
2024-01-01 10:07:00,13.3,2.5,33.25,89.1,5.32
2024-01-01 10:08:00,12.6,2.2,27.72,86.2,5.73
2024-01-01 10:09:00,13.4,2.6,34.84,90.0,5.15 