now,temperature,device-temperature,back-prediction,forward-prediction,last-update-delay,now-temperature,period,power,predict-temperature,resistance,set-power,then-temperature,tuned-prediction
0,26.3,26.3,26.3,26.3,0.544,25,1.5,7.621,26.3,1.91479,1,26.88,26.3
1.501,26.7,26.3,25.966877363265,25.2393000219432,0.544,26.9,1.5,2.106,25.6030886926041,1.91794,1,28.75,25.2427252267601
3.001,26.4,26.3,25.4906870801192,24.8759251555976,0.544,28.8,1.5,2.088,25.1833061178584,1.91571,1,30.63,24.8440985812973
4.501,26.4,26.4,25.8111612231832,25.0988792144557,0.544,30.6,1.5,2.088,25.4550202188194,1.91571,155,32.5,25.0983939456816
6.001,38.3,26.4,24.9566353672346,25.1340050604463,0.544,32.5,1.5,131.366,25.0453202138404,2.00272,155,34.38,24.8278676832045
7.501,44.5,26.3,13.4999547194306,18.2485918354112,0.544,34.4,1.5,134.362,15.8742732774209,2.0484,155,36.25,16.4399790270516
9.001,49.2,27.2,15.8927312037665,21.1326817902901,0.544,36.3,1.5,136.63,18.5127064970283,2.08297,155,38.13,19.1276017386861
10.501,53.4,28.4,18.9657507637529,24.3635111941619,0.544,38.1,1.5,138.655,21.6646309789574,2.11384,155,40,22.2732164500683
12.001,57.1,30,21.6042434803004,27.1614916136054,0.544,40,1.5,140.454,24.3828675469529,2.14074,155,41.88,24.9897117530664
13.501,60.6,32,24.4053329932541,30.021755205312,0.544,41.9,1.5,142.137,27.213544099283,2.16693,155,43.75,27.8024620602509
15.001,64.1,34,27.4242381760712,33.0339144516321,0.544,43.8,1.5,143.856,30.2290763138516,2.19259,155,45.63,30.7884459851117
16.501,67.7,35,30.6489077122272,36.2163755689222,0.544,45.6,1.5,145.557,33.4326416405747,2.21852,155,47.5,33.955472973926
18.001,70.9,37.1,32.9734799847783,38.666595377416,0.544,47.5,1.5,147.096,35.8200376810972,2.24198,155,49.38,36.3396531338675
19.501,74.2,39.7,35.9311177241742,41.5843836079457,0.544,49.4,1.5,148.716,38.75775066606,2.26667,155,51.25,39.2439818584203
21,77.6,42.3,38.9804711111239,44.5924914538079,0.544,51.3,1.5,150.336,41.7864812824659,2.29136,155,53.13,42.2384375414272
22.501,80.8,45,41.5257498533571,47.1968320917715,0.544,53.1,1.5,151.875,44.3612909725643,2.31481,155,55,44.79856130431
24.001,84,47.8,44.2951500293662,49.9579820127463,0.544,55,1.5,153.395,47.1265660210562,2.33856,155,56.88,47.5373023320417
25.501,87.4,49,47.7537303078605,53.2769834840732,0.544,56.9,1.5,153.386,50.5153568959668,2.36346,155,58.75,50.8740820708282
27.001,90.6,52,50.7280296129972,56.2169804276176,0.544,58.8,1.5,153.465,53.4725050203074,2.38713,155,60.63,53.7993348166073
28.501,93.8,54.9,53.9039534017076,59.2961589108536,0.544,60.6,1.5,153.554,56.6000561562806,2.41073,155,62.5,56.8841398075957
30.001,96.8,57.7,56.6748798563795,62.0398201445393,0.544,62.5,1.5,153.596,59.3573500004594,2.43267,155,64.38,59.6127362094377
31.501,100,60.4,60.0871402873611,65.285287338985,0.544,64.4,1.5,153.573,62.6862138131731,2.45574,155,66.25,62.8867866539809
33.001,103.1,63.3,63.081484226211,68.2129636521931,0.544,66.3,1.5,153.583,65.6472239392021,2.4784,155,68.13,65.8116578796225
34.501,106.2,66.1,66.1799222617928,71.2127592193276,0.544,68.1,1.5,153.586,68.6963407405602,2.50128,155,70,68.8191837060159
36.001,109.1,67.7,68.8502982311714,73.8589993105102,0.544,70,1.5,153.68,71.3546487708408,2.52274,155,71.88,71.4508023531313
37.501,112.2,70.4,72.1793477115687,77.0205591822385,0.544,71.9,1.5,153.534,74.5999534469036,2.54571,155,73.75,74.6427189017289
39.001,115.4,73.2,75.4997721199719,80.2031314226778,0.544,73.8,1.5,153.538,77.8514517713248,2.56888,155,75.63,77.8455084099672
40.501,118.5,76,78.4900964633401,83.1273533027277,0.544,75.6,1.5,153.555,80.8087248830339,2.59192,155,77.5,80.7676986272133
42.001,121.5,78.7,81.3656110978555,85.9431190640817,0.544,77.5,1.5,153.647,83.6543650809686,2.6138,155,79.38,83.5803469908016
43.501,124.5,81.1,84.3443392030394,88.8302808023417,0.544,79.4,1.5,153.713,86.5873100026905,2.6362,155,81.25,86.4749097999858
45.001,127.5,83.9,87.3476541472644,91.7365944022401,0.544,81.3,1.5,153.657,89.5421242747523,2.65816,155,83.13,89.3905256379699
46.501,130.5,85,90.336306780338,94.6313485827911,0.544,83.1,1.5,153.752,92.4838276815645,2.68022,155,85,92.2938067103042
48.001,133.4,86.1,93.1212781806496,97.3573982063571,0.544,85,1.5,153.747,95.2393381935034,2.70148,155,86.88,95.0179266872052
49.501,136.5,89.9,96.4507472932786,100.518564462648,0.544,86.9,1.5,153.655,98.4846558779632,2.72437,155,88.75,98.2114388702533
51.001,139.6,92.1,99.5457778850574,103.514782259738,0.544,88.8,1.5,153.735,101.530280072398,2.74696,1,90.63,101.217674131411
52.501,128.1,94.2,102.536963152886,105.56636821191,0.544,90.6,1.5,1.518,104.051665682398,2.66225,1,92.5,103.575979159818
54.001,124.9,96.2,121.073513035124,118.208534466692,0.544,92.5,1.5,1.516,119.641023750908,2.63852,1,94.38,118.147208010787
55.501,123,97.7,120.553023469451,117.328424758807,0.544,94.4,1.5,1.524,118.940724114129,2.62467,1,96.25,117.397397964146
57.001,121.6,98.4,119.682182145177,116.341304751699,0.544,96.3,1.5,1.53,118.011743448438,2.61438,155,98.13,116.457724903954
58.501,132.8,99.4,115.304897602877,113.403338517305,0.544,98.1,1.5,149.94,114.354118060091,2.69716,155,100,113.047220693948
60.001,137.9,100.2,100.488170412752,103.750917183607,0.544,100,1.5,152.966,102.11954379818,2.73396,1,100.47,101.69469869093
61.501,127.6,101.7,103.534853263324,106.169696964263,0.544,100.5,1.5,1.52,104.852275113794,2.65873,1,100.94,104.310181673017
63.001,124.4,102.3,120.572949013307,117.724337201475,0.544,100.9,1.5,1.518,119.148643107391,2.63505,1,101.41,117.661030218853
64.501,123,104.2,121.083874210628,117.697163106452,0.544,101.4,1.5,1.524,119.39051865854,2.62467,1,101.88,117.819102557991
66.001,121.6,105.1,119.682182145177,116.341304751699,0.544,101.9,1.5,1.53,118.011743448438,2.61438,1,102.34,116.457724903954
67.5,120.2,105.4,118.280490079727,114.985415224154,0.544,102.3,1.5,1.536,116.63295265194,2.60417,1,102.81,115.096376044316
69.001,119.3,106.3,117.91021277727,114.482485019335,0.544,102.8,1.5,1.54,116.196348898302,2.5974,1,103.28,114.642887926059
70.501,118.3,106.9,116.802873675018,113.44024437617,0.544,103.3,1.5,1.544,115.121559025594,2.59067,1,103.75,113.586218486675
72.001,117,107.3,115.182752985626,111.959849986229,0.544,103.8,1.5,1.55,113.571301485928,2.58065,1,104.22,112.069129837908
73.501,116.1,107.8,114.706264624552,111.383109809501,0.544,104.2,1.5,1.554,113.044687217026,2.574,1,104.69,111.531295369545
75.001,115.2,108.1,113.805136580918,110.511369279061,0.544,104.7,1.5,1.558,112.15825292999,2.56739,1,105.16,110.656172272289
76.501,114.7,108.1,113.729212241661,110.322111276131,0.544,105.2,1.5,1.56,112.025661758896,2.5641,1,105.63,110.507341885851
78.001,113.8,108.3,112.403444515468,109.155354179193,0.544,105.6,1.5,1.564,110.77939934733,2.55754,1,106.09,109.294946911336
79.501,112.9,108.4,111.502316471834,108.283583958631,0.544,106.1,1.5,1.568,109.892950215232,2.55102,1,106.56,108.419854578603
81.001,112.5,108.7,111.632603191194,108.264879083434,0.544,106.6,1.5,1.57,109.948741137314,2.54777,1,107.03,108.452518034962
82.501,112.1,108.4,111.232039169377,107.877373179885,0.544,107,1.5,1.572,109.554706174631,2.54453,1,107.5,108.063538455495
84.001,111.2,108.6,109.800060384566,106.636778077941,0.544,107.5,1.5,1.576,108.218419231254,2.53807,1,107.97,106.766828694531
85.501,110.7,108.6,109.724136045309,106.44751148356,0.544,108,1.5,1.578,108.085823764435,2.53485,1,108.44,106.618007429472
87.001,110.3,108.4,109.42978308211,106.13378986572,0.544,108.4,1.5,1.58,107.781786473915,2.53165,1,108.91,106.313399874313
88.501,109.9,108.4,109.029219060293,105.746271905912,0.544,108.9,1.5,1.582,107.387745483103,2.52845,1,109.38,105.924433441092
90.001,109.4,108.3,108.422443979858,105.188186030358,0.544,109.4,1.5,1.584,106.805315005108,2.52525,1,109.84,105.353989166509
91.501,109,108.1,108.128091016659,104.874458958976,0.544,109.8,1.5,1.586,106.501274987818,2.52207,155,110.31,105.049387709619
93.001,120.9,107.8,104.250608575448,102.494668967602,0.544,110.3,1.5,149.642,103.372638771525,2.60927,155,110.78,102.173552432513
94.501,125.9,107.9,88.4638417854211,92.127315574376,0.544,110.8,1.5,152.68,90.2955786798986,2.64613,155,111.25,90.0273321397196
96.001,129.6,108.6,90.3476476117723,94.4082581457059,0.544,111.3,1.5,153.374,92.3779528787391,2.67362,155,111.72,92.153103738812
97.501,133,109,93.3145390639077,97.3879615995059,0.544,111.7,1.5,153.616,95.3512503317068,2.69848,1,112.19,95.1041589676994
99.001,123.8,110.6,100.326086444068,102.758476811029,0.544,112.2,1.5,1.536,101.542281627549,2.63089,1,112.66,100.995574686921
100.501,121.1,111.7,117.799851601766,114.897117781251,0.544,112.7,1.5,1.532,116.348484691509,2.61097,1,113.13,114.873842131966
102.001,120.2,112.2,118.811340820904,115.354169893091,0.544,113.1,1.5,1.536,117.082755356997,2.60417,1,113.59,115.518065562262
103.501,119.3,112.3,117.91021277727,114.482485019335,0.544,113.6,1.5,1.54,116.196348898302,2.5974,1,114.06,114.642887926059
105.001,118.3,112.4,116.802873675018,113.44024437617,0.544,114.1,1.5,1.544,115.121559025594,2.59067,1,114.53,113.586218486675
106.5,117.4,112.3,116.007956690003,112.64231850709,0.544,114.5,1.5,1.548,114.325137598546,2.58398,155,115,112.79543658646
108.001,129.1,112.7,112.152085423987,110.204721841042,0.544,115,1.5,149.84,111.178403632515,2.66951,155,115.47,109.888984512248
109.501,133.9,112.9,96.1851568810807,99.6706216450688,0.544,115.5,1.5,152.936,97.9278892630748,2.70515,1,115.94,97.5704690144327
111.001,125.2,113,102.490967797038,104.695500146542,0.544,115.9,1.5,1.53,103.59323397179,2.64126,1,116.41,102.995547968557
112.501,122.5,114.1,119.201543667217,116.25301234177,0.544,116.4,1.5,1.526,117.727278004493,2.62123,1,116.88,116.235186278009
114.001,121.6,114.9,120.213032886354,116.710049835212,0.544,116.9,1.5,1.53,118.461541360783,2.61438,1,117.34,116.87942334872
115.501,120.6,115,119.105693784103,115.66784818988,0.544,117.3,1.5,1.534,117.386770986992,2.60756,155,117.81,115.822717110041
117.001,132.3,115.2,115.329812170518,113.280306526657,0.544,117.8,1.5,149.871,114.305059348587,2.69303,155,118.28,112.976000820341
118.501,137.1,115.1,99.3985219420533,102.777981639664,0.544,118.3,1.5,152.844,101.088251790859,2.72812,155,118.75,100.689386143693
120.001,141.2,115.4,102.380881482763,105.936470488523,0.544,118.8,1.5,153.234,104.158675985643,2.75862,1,119.22,103.762280221266
121.501,131.5,116.6,107.757631819645,110.086645243208,0.544,119.2,1.5,1.503,108.922138531427,2.68717,1,119.69,108.301594466609
123.001,128.7,117.8,125.302767168175,122.183486858135,0.544,119.7,1.5,1.5,123.743127013155,2.66667,1,120.16,122.179909517246
124.501,127.7,118.4,126.214154111356,122.543634033952,0.544,120.2,1.5,1.504,124.378894072654,2.65957,1,120.63,122.726971859861
126.001,126.8,118.9,125.41923712634,121.745832291578,0.544,120.6,1.5,1.508,123.582534708959,2.65252,1,121.09,121.936077909527
127.501,125.8,119,124.311898024088,120.703723961011,0.544,121.1,1.5,1.512,122.50781099255,2.6455,1,121.56,120.879289010605
129.001,125.3,119.1,124.342184743449,120.588266240082,0.544,121.6,1.5,1.514,122.465225491766,2.64201,1,122.03,120.814814813993
130.501,124.4,119.4,123.016417017256,119.421714916857,0.544,122,1.5,1.518,121.219065967056,2.63505,155,122.5,119.60222517093
132.001,136.1,119.3,119.132686833632,116.962656543207,0.544,122.5,1.5,149.965,118.04767168842,2.72091,155,122.97,116.671755434432
133.501,140.6,119.3,102.533069691195,105.907065593635,0.544,123,1.5,153.051,104.220067642415,2.75386,155,123.44,103.795531296953
135.001,144.7,119.9,105.84461262385,109.295056845224,0.544,123.4,1.5,153.318,107.569834734537,2.78399,1,123.91,107.130639697911
136.501,134.9,120.9,111.063479203379,113.31561878977,0.544,123.9,1.5,1.489,112.189548996575,2.71255,1,124.38,111.532004898949
138.001,132.1,122,128.706715320893,125.475763197732,0.544,124.4,1.5,1.486,127.091239259312,2.69179,1,124.84,125.486316619716
139.501,131.1,122.6,129.618102264074,125.835876199109,0.544,124.8,1.5,1.49,127.726989231592,2.68456,1,125.31,126.033406682109
141.001,130.6,122.8,129.648388983434,125.720424693824,0.544,125.3,1.5,1.492,127.684406838629,2.68097,1,125.78,125.968927386669
142.501,129.7,122.9,128.322621257241,124.553989160871,0.544,125.8,1.5,1.496,126.438305209056,2.6738,155,126.25,124.756241738324
144.001,141.2,122.9,124.058421984193,121.785878369692,0.544,126.3,1.5,149.967,122.922150176943,2.75871,155,126.72,121.494046632578
145.501,145.8,123,107.848422415421,111.01998957205,0.544,126.7,1.5,152.999,109.434205993736,2.79249,1,127.19,108.938015105521
147.001,136.9,123.6,113.980909307229,115.871339025208,0.544,127.2,1.5,1.481,114.926124166219,2.72727,1,127.66,114.192504324731
148.501,134.1,124.6,130.70897140816,127.412246641488,0.544,127.7,1.5,1.478,129.060609024824,2.70636,1,128.13,127.431283624401
150,133.1,125,131.620358351342,127.772338747255,0.544,128.1,1.5,1.482,129.696348549298,2.69906,1,128.59,127.978389916776
151.501,132.1,125.1,130.619230307708,126.804116796041,0.544,128.6,1.5,1.486,128.711673551874,2.69179,155,129.06,127.005891090587
153.001,144,125.4,127.179423250327,124.691736800249,0.544,129.1,1.5,150.046,125.935580025288,2.77899,155,129.53,124.452402841985
154.501,148.7,125.6,110.865246108545,113.908208200391,0.544,129.5,1.5,152.895,112.386727154468,2.81335,155,130,111.848129284098
156.001,152.4,126,113.108763195688,116.442012020208,0.544,130,1.5,153.468,114.775387607948,2.84082,1,130.47,114.262712498757
157.501,142.6,127.1,118.680996525196,120.687836065729,0.544,130.5,1.5,1.459,119.684416295462,2.7686,1,130.94,118.932516852645
159.001,139.7,128,136.208964589528,132.760150990682,0.544,130.9,1.5,1.456,134.484557790105,2.74725,1,131.41,132.793005775242
160.501,138.6,128.4,137.020351532709,133.023460018041,0.544,131.4,1.5,1.46,135.021905775375,2.73973,1,131.88,133.242994117549
162.001,137.6,128.7,136.125434547693,132.129099582623,0.544,131.9,1.5,1.464,134.127267065158,2.73224,1,132.34,132.354812394149
163.501,136.6,129,135.12430650406,131.160964871102,0.544,132.3,1.5,1.468,133.142635687581,2.7248,1,132.81,131.382248992502
165.001,135.6,129,134.123178460426,130.192810295031,0.544,132.8,1.5,1.472,132.157994377728,2.71739,155,133.28,130.409699898086
166.501,147.4,129.2,130.495473412713,127.927787022019,0.544,133.3,1.5,150.031,129.211630217366,2.80383,155,133.75,127.692306348486
168.001,152,129.2,114.032890006614,117.007006558539,0.544,133.8,1.5,153.049,115.519948282576,2.83769,155,134.22,114.946889974826
169.501,155.8,130,116.604795540584,119.797485195346,0.544,134.2,1.5,153.437,118.201140367965,2.86593,1,134.69,117.641068287049
171.001,145.7,130.9,121.540224056743,123.540008022864,0.544,134.7,1.5,1.447,122.540116039803,2.79167,1,135.16,121.765814260967
172.501,142.8,131.3,139.312348720429,135.761122332716,0.544,135.2,1.5,1.444,137.536735526573,2.77008,1,135.63,135.807966838075
174.001,141.7,132,140.123735663611,136.024401567447,0.544,135.6,1.5,1.448,138.074068615529,2.76243,1,136.09,136.25797558781
175.501,140.7,132.1,139.228818678595,135.130099755404,0.544,136.1,1.5,1.452,137.179459216999,2.75482,1,136.56,135.36975356901
177.001,140.2,132.4,139.259105397955,135.014660771669,0.544,136.6,1.5,1.454,137.136883084812,2.75103,155,137.03,135.305265155333
178.501,151.7,132.7,134.586363000656,131.978414264564,0.544,137,1.5,150.239,133.28238863261,2.83555,155,137.5,131.727576049952
180.001,156.3,132.8,118.324557524306,121.160855426194,0.544,137.5,1.5,152.977,119.74270647525,2.86908,155,137.97,119.116742829003
181.501,160.1,133.6,120.894545384099,123.949639888541,0.544,138,1.5,153.535,122.42209263632,2.89698,1,138.44,121.809462926796
183.001,150,133.8,125.833076772279,127.69427489553,0.544,138.4,1.5,1.431,126.763675833905,2.82303,1,138.91,125.937114574051
184.501,147,134.8,143.410649836346,139.752830113404,0.544,138.9,1.5,1.428,141.581739974875,2.80112,1,139.38,139.808504056455
186,145.9,135.4,144.328247838146,140.08980853757,0.544,139.4,1.5,1.432,142.209028187858,2.7933,1,139.84,140.342944549334
187.501,144.9,135.8,143.43333085313,139.195590201216,0.544,139.8,1.5,1.436,141.314460527173,2.78552,1,140.31,139.454668275465
189,143.8,136,142.225991750878,138.057153333553,0.544,140.3,1.5,1.44,140.141572542215,2.77778,155,140.78,138.30042890381
190.501,155.6,136.1,138.657786571032,135.82646377048,0.544,140.8,1.5,150.158,137.242125170756,2.86464,155,141.25,135.625163237029
192.001,160.3,136.1,122.430964862516,125.104613298519,0.544,141.3,1.5,153.022,123.767789080517,2.89843,1,141.72,123.087064277455
193.501,151.1,136.8,127.942162805143,129.463833121697,0.544,141.7,1.5,1.427,128.70299796342,2.83099,1,142.19,127.810558287578
195.001,148.1,137.2,144.51177787998,140.817486484122,0.544,142.2,1.5,1.424,142.664632182051,2.80899,1,142.66,140.8783637644
196.5,147,138,145.429375881779,141.154451245979,0.544,142.7,1.5,1.428,143.291913563879,2.80112,155,143.13,141.412812765282
198.001,158.8,138,141.839243037752,138.906815710095,0.544,143.1,1.5,150.268,140.373029373923,2.88744,155,143.59,138.718754942948
199.501,163.4,138.4,125.374141494168,127.990198401853,0.544,143.6,1.5,153.241,126.68216994801,2.92184,1,144.06,125.97123422991
201.001,153.8,139,130.251117485803,131.817041745374,0.544,144.1,1.5,1.417,131.034079615588,2.85106,1,144.53,130.131526858155
202.501,150.8,139.3,147.214597989064,143.430656797393,0.544,144.5,1.5,1.414,145.322627393229,2.82885,1,145,143.504498811566
204,149.7,139.7,148.132195990864,143.76758716345,0.544,145,1.5,1.418,145.949891577157,2.82087,155,145.47,144.038968628957
205.501,161.7,139.9,144.934754213018,141.838859536758,0.544,145.5,1.5,150.166,143.386806874888,2.90884,155,145.94,141.686803151162
207.001,165.9,140,127.476983962643,130.135157129714,0.544,145.9,1.5,153.145,128.806070546179,2.94028,1,146.41,128.086078365533
208.501,156.6,140.6,133.254433169634,134.632942213783,0.544,146.4,1.5,1.407,133.943687691709,2.87143,1,146.88,132.991744004768
210.001,153.5,141.3,149.811207039531,145.969927056178,0.544,146.9,1.5,1.404,147.890567047854,2.849,1,147.34,146.046323889716
211.501,152.4,141.8,150.835016099948,146.380550392657,0.544,147.3,1.5,1.408,148.607783246303,2.84091,155,147.81,146.665226496505
213.001,163.9,141.9,146.693231526728,143.684402361677,0.544,147.8,1.5,150.178,145.188816944203,2.92533,155,148.28,143.489775265586
214.501,168.7,142,130.92183001554,133.292076180149,0.544,148.3,1.5,153.096,132.106953097845,2.96065,1,148.75,131.319278274204
216.001,158.8,142.7,135.041216219395,136.533793220493,0.544,148.8,1.5,1.399,135.787504719944,2.88793,1,149.22,134.83987396859
217.501,155.7,143.3,152.013463126798,148.098878265769,0.544,149.2,1.5,1.396,150.056170696284,2.86533,1,149.69,148.186257759144
219.001,154.6,143.9,153.037272187216,148.509466896396,0.544,149.7,1.5,1.4,150.773369541806,2.85714,155,150.16,148.805179837097
220.5,166.6,144.1,149.834977565657,146.577232273716,0.544,150.2,1.5,150.175,148.206104919687,2.94497,155,150.63,146.448717032138
222,171.3,144.6,133.381596408899,135.706545657228,0.544,150.6,1.5,153.287,134.544071033064,2.97923,1,151.09,133.732114643644
223.5,161.7,144.7,138.169578703819,139.475780920852,0.544,151.1,1.5,1.389,138.822679812335,2.90883,1,151.56,137.825333672598
225.001,158,145.4,153.678657414271,149.882233013237,0.544,151.6,1.5,1.388,151.780445213754,2.88184,1,152.03,149.917117324533
226.501,156.9,146,155.339528274483,150.734941450363,0.544,152,1.5,1.392,153.037234862423,2.87356,155,152.5,151.04238827107
228.001,169,146.3,152.33393865592,148.96246531637,0.544,152.5,1.5,150.119,150.648201986145,2.96291,155,152.97,148.857171269861
229.501,173.7,146.7,135.798467429486,138.040987465493,0.544,153,1.5,153.225,136.919727447489,2.9972,1,153.44,136.078431015
231.001,164,147.1,140.389279967433,141.649985922043,0.544,153.4,1.5,1.381,141.019632944738,2.92576,1,153.91,140.000097081423
232.501,160.3,147.8,155.980913501538,152.107639674169,0.544,153.9,1.5,1.38,154.044276587854,2.89855,1,154.38,152.154362134755
234.001,159.1,147.8,157.435573303133,152.789891606607,0.544,154.4,1.5,1.384,155.11273245487,2.89017,155,154.84,153.098057934876
235.501,171.5,148.1,155.063602150668,151.517716258806,0.544,154.8,1.5,150.215,153.290659204737,2.9807,155,155.31,151.455603119967
237.001,175.7,148.4,137.266760127176,139.606034404609,0.544,155.3,1.5,153.174,138.436397265892,3.0122,155,155.78,137.599225249901
238.5,179.3,149,139.830161816947,142.333007130581,0.544,155.8,1.5,153.712,141.081584473764,3.0381,1,156.25,140.250982234751
240.001,168.7,149.9,144.050181141808,145.459647376096,0.544,156.3,1.5,1.365,144.754914258952,2.96024,1,156.72,143.732455263131
241.501,165.5,150.6,161.716840439067,157.506803783903,0.544,156.7,1.5,1.362,159.611822111485,2.93686,1,157.19,157.634684478176
243.001,164.3,150.9,162.640649499485,157.820566767954,0.544,157.2,1.5,1.366,160.230608133719,2.92826,1,157.66,158.156493556669
244.501,163.1,151.2,161.439521455851,156.659742343143,0.544,157.7,1.5,1.37,159.049631899497,2.91971,1,158.13,156.989166321159
246.001,162,151.4,160.444604470835,155.669249944208,0.544,158.1,1.5,1.374,158.056927207522,2.91121,155,158.59,156.003477853251
247.501,174.2,151.6,157.608939347373,154.035747627888,0.544,158.6,1.5,150.202,155.822343487631,3.00071,155,159.06,153.966634515746
249.001,178.5,151.8,140.153092048851,142.372116240281,0.544,159.1,1.5,153.292,141.262604144566,3.03235,155,159.53,140.3874844714
250.501,182.1,152,142.626001592026,145.037462786526,0.544,159.5,1.5,153.668,143.831732189276,3.05869,1,160,142.96832623359
252.001,171.7,152.4,147.23263408397,148.477812027707,0.544,160,1.5,1.355,147.855223055838,2.9822,1,160.47,146.786787702996
253.501,168.4,153.3,164.513449489534,160.238382656801,0.544,160.5,1.5,1.352,162.375916073168,2.95858,1,160.94,160.371435574633
255.001,167.3,153.6,165.749680667187,160.796139032553,0.544,160.9,1.5,1.356,163.27290984987,2.94985,155,161.41,161.15932808572
256.501,179.1,154,162.126296856982,158.523973309228,0.544,161.4,1.5,150.381,160.325135083105,3.03681,155,161.88,158.436175557638
258.001,183.9,154,146.066379150651,147.948701846313,0.544,161.9,1.5,153.289,147.007540498482,3.07191,1,162.34,146.041946762777
259.501,173.5,154.4,149.290075081056,150.459735924428,0.544,162.3,1.5,1.349,149.874905502742,2.99553,1,162.81,148.781481792012
261.001,170.2,155,166.315141554984,161.979421903066,0.544,162.8,1.5,1.346,164.147281729025,2.97177,1,163.28,162.122519036557
262.5,169,155.6,167.34516167402,162.366800663464,0.544,163.3,1.5,1.35,164.855981168742,2.96296,155,163.75,162.72879420191
264.001,181.1,156,164.379121343617,160.613333227343,0.544,163.8,1.5,150.347,162.49622728548,3.05172,155,164.22,160.568684013093
265.501,185.6,156.2,147.438641910643,149.364158462046,0.544,164.2,1.5,153.359,148.401400186345,3.08467,155,164.69,147.43304831352
267.001,189,156.9,149.276890983646,151.533122948758,0.544,164.7,1.5,153.834,150.405006966202,3.10918,1,165.16,149.473761491778
268.501,178.4,157,153.707188326968,154.797955900145,0.544,165.2,1.5,1.333,154.252572113557,3.03167,1,165.63,153.11835662985
